year,season,district_name,mandal_name,crop,normal_area,actual_name
2016-2017,Rabi,Adilabad,Narnoor,Ground nut,0,0
2016-2017,Rabi,Adilabad,Gadiguda,Ground nut,0,25
2016-2017,Rabi,Adilabad,Boath,Ground nut,18,24
2016-2017,Rabi,Adilabad,Bazarhatnoor,Ground nut,3,33
2016-2017,Rabi,Adilabad,Neradigonda,Ground nut,2,30
2016-2017,Rabi,Adilabad,Bheempur,Ground nut,0,62
2016-2017,Rabi,Adilabad,Tamsi,Ground nut,46,229
2016-2017,Rabi,Adilabad,Talamadugu,Ground nut,101,553
2016-2017,Rabi,Adilabad,Adilabad (Rural),Seasamum,3,1
2016-2017,Rabi,Adilabad,Mavala,Seasamum,0,1
2016-2017,Rabi,Adilabad,Adilabad (Urban),Seasamum,0,0
2016-2017,Rabi,Adilabad,Jainath,Seasamum,3,18
2016-2017,Rabi,Adilabad,Bela,Seasamum,0,4
2016-2017,Rabi,Adilabad,Ichoda,Seasamum,8,0
2016-2017,Rabi,Adilabad,Srikonda,Seasamum,0,2
2016-2017,Rabi,Adilabad,Gudihathnoor,Seasamum,2,0
2016-2017,Rabi,Adilabad,Utnoor,Seasamum,0,1
2016-2017,Rabi,Adilabad,Inderavelly,Seasamum,0,0
2016-2017,Rabi,Adilabad,Narnoor,Seasamum,0,0
2016-2017,Rabi,Adilabad,Gadiguda,Seasamum,0,0
2016-2017,Rabi,Adilabad,Boath,Seasamum,35,25
2016-2017,Rabi,Adilabad,Bazarhatnoor,Seasamum,0,23
2016-2017,Rabi,Adilabad,Neradigonda,Seasamum,11,65
2016-2017,Rabi,Adilabad,Bheempur,Seasamum,0,11
2016-2017,Rabi,Adilabad,Tamsi,Seasamum,15,9
2016-2017,Rabi,Adilabad,Talamadugu,Seasamum,1,12
2016-2017,Rabi,Adilabad,Adilabad (Rural),Safflower,0,0
2016-2017,Rabi,Adilabad,Mavala,Safflower,0,0
2016-2017,Rabi,Adilabad,Adilabad (Urban),Safflower,0,0
2016-2017,Rabi,Adilabad,Jainath,Safflower,0,0
2016-2017,Rabi,Adilabad,Bela,Safflower,0,0
2016-2017,Rabi,Adilabad,Ichoda,Safflower,0,0
2016-2017,Rabi,Adilabad,Srikonda,Safflower,0,0
2016-2017,Rabi,Adilabad,Gudihathnoor,Safflower,0,0
2016-2017,Rabi,Adilabad,Utnoor,Safflower,6,0
2016-2017,Rabi,Adilabad,Inderavelly,Safflower,0,0
2016-2017,Rabi,Adilabad,Narnoor,Safflower,0,0
2016-2017,Rabi,Adilabad,Gadiguda,Safflower,0,0
2016-2017,Rabi,Adilabad,Boath,Safflower,0,0
2016-2017,Rabi,Adilabad,Bazarhatnoor,Safflower,0,0
2016-2017,Rabi,Adilabad,Neradigonda,Safflower,0,0
2016-2017,Rabi,Adilabad,Bheempur,Safflower,0,0
2016-2017,Rabi,Adilabad,Tamsi,Safflower,0,0
2016-2017,Rabi,Adilabad,Talamadugu,Safflower,0,0
2016-2017,Rabi,Adilabad,Adilabad (Rural),Sunflower,0,0
2016-2017,Rabi,Adilabad,Mavala,Sunflower,0,0
2016-2017,Rabi,Adilabad,Adilabad (Urban),Sunflower,0,0
2016-2017,Rabi,Adilabad,Jainath,Sunflower,0,0
2016-2017,Rabi,Adilabad,Bela,Sunflower,0,0
2016-2017,Rabi,Adilabad,Ichoda,Sunflower,0,0
2016-2017,Rabi,Adilabad,Srikonda,Sunflower,0,0
2016-2017,Rabi,Adilabad,Gudihathnoor,Sunflower,0,0
2016-2017,Rabi,Adilabad,Utnoor,Sunflower,0,0
2016-2017,Rabi,Adilabad,Inderavelly,Sunflower,0,0
2016-2017,Rabi,Adilabad,Narnoor,Sunflower,0,0
2016-2017,Rabi,Adilabad,Gadiguda,Sunflower,0,0
2016-2017,Rabi,Adilabad,Boath,Sunflower,35,21
2016-2017,Rabi,Adilabad,Bazarhatnoor,Sunflower,0,0
2016-2017,Rabi,Adilabad,Neradigonda,Sunflower,0,15
2016-2017,Rabi,Adilabad,Bheempur,Sunflower,0,0
2016-2017,Rabi,Adilabad,Tamsi,Sunflower,0,0
2016-2017,Rabi,Adilabad,Talamadugu,Sunflower,0,3
2016-2017,Rabi,Adilabad,Adilabad (Rural),Other oil Seeds,0,0
2016-2017,Rabi,Adilabad,Mavala,Other oil Seeds,0,0
2016-2017,Rabi,Adilabad,Adilabad (Urban),Other oil Seeds,0,0
2016-2017,Rabi,Adilabad,Jainath,Other oil Seeds,0,0
2016-2017,Rabi,Adilabad,Bela,Other oil Seeds,0,0
2016-2017,Rabi,Adilabad,Ichoda,Other oil Seeds,0,0
2016-2017,Rabi,Adilabad,Srikonda,Other oil Seeds,0,0
2016-2017,Rabi,Adilabad,Gudihathnoor,Other oil Seeds,0,0
2016-2017,Rabi,Adilabad,Utnoor,Other oil Seeds,0,0
2016-2017,Rabi,Adilabad,Inderavelly,Other oil Seeds,0,0
2016-2017,Rabi,Adilabad,Narnoor,Other oil Seeds,0,0
2016-2017,Rabi,Adilabad,Gadiguda,Other oil Seeds,0,0
2016-2017,Rabi,Adilabad,Boath,Other oil Seeds,0,0
2016-2017,Rabi,Adilabad,Bazarhatnoor,Other oil Seeds,0,0
2016-2017,Rabi,Adilabad,Neradigonda,Other oil Seeds,0,0
2016-2017,Rabi,Adilabad,Bheempur,Other oil Seeds,0,0
