year,season,district_name,mandal_name,crop,normal_area,actual_area
2017-2018,Kharif,Adilabad,Jainath,Onion,0,0
2017-2018,Kharif,Adilabad,Bela,Onion,0,0
2017-2018,Kharif,Adilabad,Ichoda,Onion,1,0
2017-2018,Kharif,Adilabad,Srikonda,Onion,0,0
2017-2018,Kharif,Adilabad,Gudihathnoor,Onion,0,0
2017-2018,Kharif,Adilabad,Utnoor,Onion,0,0
2017-2018,Kharif,Adilabad,Inderavelly,Onion,0,0
2017-2018,Kharif,Adilabad,Narnoor,Onion,0,0
2017-2018,Kharif,Adilabad,Gadiguda,Onion,0,0
2017-2018,Kharif,Adilabad,Boath,Onion,0,0
2017-2018,Kharif,Adilabad,Bazarhatnoor,Onion,0,0
2017-2018,Kharif,Adilabad,Neradigonda,Onion,0,0
2017-2018,Kharif,Adilabad,Bheempur,Onion,0,0
2017-2018,Kharif,Adilabad,Tamsi,Onion,0,0
2017-2018,Kharif,Adilabad,Talamadugu,Onion,0,0
2017-2018,Kharif,Adilabad,Adilabad R,Other Food Crops,122,88
2017-2018,Kharif,Adilabad,Mavala,Other Food Crops,9,40
2017-2018,Kharif,Adilabad,Adilabad U,Other Food Crops,1,13
2017-2018,Kharif,Adilabad,Jainath,Other Food Crops,59,0
2017-2018,Kharif,Adilabad,Bela,Other Food Crops,65,66
2017-2018,Kharif,Adilabad,Ichoda,Other Food Crops,367,161
2017-2018,Kharif,Adilabad,Srikonda,Other Food Crops,0,58
2017-2018,Kharif,Adilabad,Gudihathnoor,Other Food Crops,1065,788
2017-2018,Kharif,Adilabad,Utnoor,Other Food Crops,640,281
2017-2018,Kharif,Adilabad,Inderavelly,Other Food Crops,1065,961
2017-2018,Kharif,Adilabad,Narnoor,Other Food Crops,98,128
2017-2018,Kharif,Adilabad,Gadiguda,Other Food Crops,25,86
2017-2018,Kharif,Adilabad,Boath,Other Food Crops,71,94
2017-2018,Kharif,Adilabad,Bazarhatnoor,Other Food Crops,117,56
2017-2018,Kharif,Adilabad,Neradigonda,Other Food Crops,62,64
2017-2018,Kharif,Adilabad,Bheempur,Other Food Crops,2,29
2017-2018,Kharif,Adilabad,Tamsi,Other Food Crops,17,27
2017-2018,Kharif,Adilabad,Talamadugu,Other Food Crops,89,67
2017-2018,Kharif,Adilabad,Adilabad R,Cotton,10910,10447
2017-2018,Kharif,Adilabad,Mavala,Cotton,155,544
2017-2018,Kharif,Adilabad,Adilabad U,Cotton,12,132
2017-2018,Kharif,Adilabad,Jainath,Cotton,13900,16052
2017-2018,Kharif,Adilabad,Bela,Cotton,11231,12728
2017-2018,Kharif,Adilabad,Ichoda,Cotton,8738,7385
2017-2018,Kharif,Adilabad,Srikonda,Cotton,501,3455
2017-2018,Kharif,Adilabad,Gudihathnoor,Cotton,6580,3200
2017-2018,Kharif,Adilabad,Utnoor,Cotton,6910,11064
2017-2018,Kharif,Adilabad,Inderavelly,Cotton,7843,8405
2017-2018,Kharif,Adilabad,Narnoor,Cotton,9162,8635
2017-2018,Kharif,Adilabad,Gadiguda,Cotton,373,2937
2017-2018,Kharif,Adilabad,Boath,Cotton,9451,9413
2017-2018,Kharif,Adilabad,Bazarhatnoor,Cotton,6524,8258
2017-2018,Kharif,Adilabad,Neradigonda,Cotton,5829,6510
2017-2018,Kharif,Adilabad,Bheempur,Cotton,1157,8490
2017-2018,Kharif,Adilabad,Tamsi,Cotton,11632,5177
2017-2018,Kharif,Adilabad,Talamadugu,Cotton,12094,12164
2017-2018,Kharif,Adilabad,Adilabad R,Mesta,0,0
2017-2018,Kharif,Adilabad,Mavala,Mesta,0,0
2017-2018,Kharif,Adilabad,Adilabad U,Mesta,0,0
2017-2018,Kharif,Adilabad,Jainath,Mesta,0,0
2017-2018,Kharif,Adilabad,Bela,Mesta,0,0
2017-2018,Kharif,Adilabad,Ichoda,Mesta,0,0
2017-2018,Kharif,Adilabad,Srikonda,Mesta,0,0
2017-2018,Kharif,Adilabad,Gudihathnoor,Mesta,0,0
2017-2018,Kharif,Adilabad,Utnoor,Mesta,0,0
2017-2018,Kharif,Adilabad,Inderavelly,Mesta,0,0
2017-2018,Kharif,Adilabad,Narnoor,Mesta,0,0
2017-2018,Kharif,Adilabad,Gadiguda,Mesta,0,0
2017-2018,Kharif,Adilabad,Boath,Mesta,0,0
2017-2018,Kharif,Adilabad,Bazarhatnoor,Mesta,0,0
2017-2018,Kharif,Adilabad,Neradigonda,Mesta,0,0
2017-2018,Kharif,Adilabad,Bheempur,Mesta,0,0
2017-2018,Kharif,Adilabad,Tamsi,Mesta,0,0
2017-2018,Kharif,Adilabad,Talamadugu,Mesta,0,0
2017-2018,Kharif,Adilabad,Adilabad R,Groundnut,0,0
2017-2018,Kharif,Adilabad,Mavala,Groundnut,0,0
2017-2018,Kharif,Adilabad,Adilabad U,Groundnut,0,0
2017-2018,Kharif,Adilabad,Jainath,Groundnut,0,0
2017-2018,Kharif,Adilabad,Bela,Groundnut,0,0
2017-2018,Kharif,Adilabad,Ichoda,Groundnut,0,0
2017-2018,Kharif,Adilabad,Srikonda,Groundnut,0,0
2017-2018,Kharif,Adilabad,Gudihathnoor,Groundnut,0,0
2017-2018,Kharif,Adilabad,Utnoor,Groundnut,0,0
2017-2018,Kharif,Adilabad,Inderavelly,Groundnut,0,0
2017-2018,Kharif,Adilabad,Narnoor,Groundnut,0,0
2017-2018,Kharif,Adilabad,Gadiguda,Groundnut,0,0
2017-2018,Kharif,Adilabad,Boath,Groundnut,0,0
2017-2018,Kharif,Adilabad,Bazarhatnoor,Groundnut,0,0
2017-2018,Kharif,Adilabad,Neradigonda,Groundnut,0,0
2017-2018,Kharif,Adilabad,Bheempur,Groundnut,0,0
2017-2018,Kharif,Adilabad,Tamsi,Groundnut,0,0
2017-2018,Kharif,Adilabad,Talamadugu,Groundnut,0,0
2017-2018,Kharif,Adilabad,Adilabad R,Seasumum,12,5
2017-2018,Kharif,Adilabad,Mavala,Seasumum,0,0
2017-2018,Kharif,Adilabad,Adilabad U,Seasumum,0,0
2017-2018,Kharif,Adilabad,Jainath,Seasumum,0,0
2017-2018,Kharif,Adilabad,Bela,Seasumum,2,3
2017-2018,Kharif,Adilabad,Ichoda,Seasumum,2,0
2017-2018,Kharif,Adilabad,Srikonda,Seasumum,0,0
2017-2018,Kharif,Adilabad,Gudihathnoor,Seasumum,11,5
2017-2018,Kharif,Adilabad,Utnoor,Seasumum,4,0
2017-2018,Kharif,Adilabad,Inderavelly,Seasumum,1,0
2017-2018,Kharif,Adilabad,Narnoor,Seasumum,43,17
2017-2018,Kharif,Adilabad,Gadiguda,Seasumum,12,49
2017-2018,Kharif,Adilabad,Boath,Seasumum,2,4
2017-2018,Kharif,Adilabad,Bazarhatnoor,Seasumum,0,0
2017-2018,Kharif,Adilabad,Neradigonda,Seasumum,0,0
2017-2018,Kharif,Adilabad,Bheempur,Seasumum,0,0
2017-2018,Kharif,Adilabad,Tamsi,Seasumum,0,0
2017-2018,Kharif,Adilabad,Talamadugu,Seasumum,11,0
2017-2018,Kharif,Adilabad,Adilabad R,Sunflower,0,0
2017-2018,Kharif,Adilabad,Mavala,Sunflower,0,0
2017-2018,Kharif,Adilabad,Adilabad U,Sunflower,0,0
2017-2018,Kharif,Adilabad,Jainath,Sunflower,0,0
2017-2018,Kharif,Adilabad,Bela,Sunflower,0,0
2017-2018,Kharif,Adilabad,Ichoda,Sunflower,0,0
2017-2018,Kharif,Adilabad,Srikonda,Sunflower,0,0
2017-2018,Kharif,Adilabad,Gudihathnoor,Sunflower,0,0
2017-2018,Kharif,Adilabad,Utnoor,Sunflower,0,0
2017-2018,Kharif,Adilabad,Inderavelly,Sunflower,0,0
2017-2018,Kharif,Adilabad,Narnoor,Sunflower,0,0
2017-2018,Kharif,Adilabad,Gadiguda,Sunflower,0,0
2017-2018,Kharif,Adilabad,Boath,Sunflower,0,0
2017-2018,Kharif,Adilabad,Bazarhatnoor,Sunflower,0,0
2017-2018,Kharif,Adilabad,Neradigonda,Sunflower,0,0
2017-2018,Kharif,Adilabad,Bheempur,Sunflower,0,0
2017-2018,Kharif,Adilabad,Tamsi,Sunflower,0,0
2017-2018,Kharif,Adilabad,Talamadugu,Sunflower,0,0
2017-2018,Kharif,Adilabad,Adilabad R,Castor,0,0
2017-2018,Kharif,Adilabad,Mavala,Castor,0,0
2017-2018,Kharif,Adilabad,Adilabad U,Castor,0,0
2017-2018,Kharif,Adilabad,Jainath,Castor,0,0
2017-2018,Kharif,Adilabad,Bela,Castor,0,0
2017-2018,Kharif,Adilabad,Ichoda,Castor,0,0
2017-2018,Kharif,Adilabad,Srikonda,Castor,0,0
2017-2018,Kharif,Adilabad,Gudihathnoor,Castor,0,0
2017-2018,Kharif,Adilabad,Utnoor,Castor,5,0
2017-2018,Kharif,Adilabad,Inderavelly,Castor,5,2
2017-2018,Kharif,Adilabad,Narnoor,Castor,37,23
2017-2018,Kharif,Adilabad,Gadiguda,Castor,10,49
2017-2018,Kharif,Adilabad,Boath,Castor,0,0
2017-2018,Kharif,Adilabad,Bazarhatnoor,Castor,0,0
2017-2018,Kharif,Adilabad,Neradigonda,Castor,0,0
2017-2018,Kharif,Adilabad,Bheempur,Castor,0,0
2017-2018,Kharif,Adilabad,Tamsi,Castor,0,0
2017-2018,Kharif,Adilabad,Talamadugu,Castor,0,0
2017-2018,Kharif,Adilabad,Adilabad R,Soybean,1372,420
2017-2018,Kharif,Adilabad,Mavala,Soybean,26,30
2017-2018,Kharif,Adilabad,Adilabad U,Soybean,0,7
2017-2018,Kharif,Adilabad,Jainath,Soybean,5117,4567
2017-2018,Kharif,Adilabad,Bela,Soybean,2266,1566
2017-2018,Kharif,Adilabad,Ichoda,Soybean,2840,1059
2017-2018,Kharif,Adilabad,Srikonda,Soybean,242,181
2017-2018,Kharif,Adilabad,Gudihathnoor,Soybean,1320,891
2017-2018,Kharif,Adilabad,Utnoor,Soybean,3710,705
2017-2018,Kharif,Adilabad,Inderavelly,Soybean,4306,1350
2017-2018,Kharif,Adilabad,Narnoor,Soybean,3792,248
2017-2018,Kharif,Adilabad,Gadiguda,Soybean,313,187
2017-2018,Kharif,Adilabad,Boath,Soybean,4258,2608
2017-2018,Kharif,Adilabad,Bazarhatnoor,Soybean,3799,1922
2017-2018,Kharif,Adilabad,Neradigonda,Soybean,2125,1935
2017-2018,Kharif,Adilabad,Bheempur,Soybean,614,1128
2017-2018,Kharif,Adilabad,Tamsi,Soybean,1657,342
2017-2018,Kharif,Adilabad,Talamadugu,Soybean,461,313
2017-2018,Kharif,Adilabad,Adilabad R,Other Oil Seeds,0,0
2017-2018,Kharif,Adilabad,Mavala,Other Oil Seeds,0,0
2017-2018,Kharif,Adilabad,Adilabad U,Other Oil Seeds,0,0
2017-2018,Kharif,Adilabad,Jainath,Other Oil Seeds,0,0
2017-2018,Kharif,Adilabad,Bela,Other Oil Seeds,0,0
2017-2018,Kharif,Adilabad,Ichoda,Other Oil Seeds,0,0
2017-2018,Kharif,Adilabad,Srikonda,Other Oil Seeds,0,0
2017-2018,Kharif,Adilabad,Gudihathnoor,Other Oil Seeds,0,0
2017-2018,Kharif,Adilabad,Utnoor,Other Oil Seeds,0,0
2017-2018,Kharif,Adilabad,Inderavelly,Other Oil Seeds,0,0
2017-2018,Kharif,Adilabad,Narnoor,Other Oil Seeds,0,0
2017-2018,Kharif,Adilabad,Gadiguda,Other Oil Seeds,0,0
2017-2018,Kharif,Adilabad,Boath,Other Oil Seeds,0,0
2017-2018,Kharif,Adilabad,Bazarhatnoor,Other Oil Seeds,0,0
2017-2018,Kharif,Adilabad,Neradigonda,Other Oil Seeds,0,0
2017-2018,Kharif,Adilabad,Bheempur,Other Oil Seeds,0,0
2017-2018,Kharif,Adilabad,Tamsi,Other Oil Seeds,0,0
2017-2018,Kharif,Adilabad,Talamadugu,Other Oil Seeds,0,0
